name,date,size_km,rel_vel_kps,miss_km,pha_flag
(2025 QM3),2025-08-21,0.0074669392,9.249256469,204097.181869498,False
(2025 QU4),2025-08-21,0.030460892000000003,18.3767306101,4199014.7417116,False
(2025 QU5),2025-08-21,0.008312709750000001,8.970205578,415559.276316114,False
(2000 UR16),2025-08-22,0.07137442405,11.2887655476,63003091.99746548,False
(2003 HT42),2025-08-22,0.04715661435,9.1298549515,51257956.19527318,False
(2012 BT1),2025-08-22,0.01424106985,16.3129860678,69052933.50166981,False
(2012 BX34),2025-08-22,0.012988010099999999,17.2126686452,71555636.97695068,False
(2014 QQ33),2025-08-22,0.16052497715,10.2045511206,13786384.481665282,False
(2017 EC3),2025-08-22,0.1360011613,5.0153577477,44183127.62116965,False
(2021 GR18),2025-08-22,0.11054589415,15.3525992638,35087685.38914817,False
(2022 QG3),2025-08-22,0.06816204584999999,6.162273931,26943914.39034928,False
(2023 PX),2025-08-22,0.02828411645,8.3471141436,928694.436530143,False
(2023 SX2),2025-08-22,0.04280974265,7.5275096192,28670693.267616972,False
(2025 HZ1),2025-08-22,0.19034550125,15.2214810863,18368700.860582765,True
(2025 PO2),2025-08-22,0.1268652317,21.0652977328,13177340.062543647,False
(2025 QT),2025-08-22,0.3411478329,25.5535278245,25504409.604344055,False
(2025 QY),2025-08-22,0.0178378545,7.7571678475,2875063.509315162,False
(2025 QE2),2025-08-22,0.042241819550000004,7.2385253035,6551563.229564798,False
(2025 QG2),2025-08-22,0.0631746169,17.5308655702,13136508.969503717,False
(2025 QY3),2025-08-22,0.0506690331,9.8330114762,13662334.20287432,False
(2025 QB4),2025-08-22,0.009539873550000001,13.7041409836,768822.035220673,False
(2025 QE4),2025-08-22,0.0117690828,6.3779080334,512659.050032967,False
(2025 QV4),2025-08-22,0.0390789258,16.7286505265,1592078.651312495,False
(1999 RA32),2025-08-25,0.22674755715,5.9096122768,17000581.620017964,False
(2000 HP40),2025-08-25,0.0675371324,5.3389061215,59279125.30689867,False
(2013 AM20),2025-08-25,0.0858109316,7.0084690912,74387489.02183804,False
(2016 SC),2025-08-25,0.012988010099999999,12.1349538636,34198606.50312506,False
(2017 HE),2025-08-25,0.01965814875,9.0327488238,73568775.04978728,False
(2020 BA5),2025-08-25,0.0650942484,4.2636725643,19633039.75030991,False
(2020 QX4),2025-08-25,0.10412202765,12.2479865796,43448948.57805614,False
(2021 EH2),2025-08-25,0.025208245350000002,10.1522890032,49805722.27610753,False
(2021 PW2),2025-08-25,0.03144434965,13.4300506758,35664936.416229546,False
(2023 CN1),2025-08-25,0.02440858575,18.8634278404,73304878.66254908,False
(2023 TQ3),2025-08-25,0.032774993700000005,8.1866643126,55622753.695821576,False
(2024 JF1),2025-08-25,0.0113642981,8.6485658618,23976505.10322906,False
(2024 PR4),2025-08-25,0.05389427285,11.8786179267,38732884.702178344,False
(2025 KV12),2025-08-25,0.3307825698,12.6536787568,15527627.707707109,False
(2025 PO),2025-08-25,0.1579583603,10.2490259141,27637041.07021334,False
(2025 PR2),2025-08-25,0.07029794295,11.6429460398,24439443.25167671,False
(2025 QS1),2025-08-25,0.07626804549999999,9.8942084727,14366914.48462004,False
(2025 QU2),2025-08-25,0.1441924818,16.5791084368,24391961.72548678,False
(2025 QV3),2025-08-25,0.012857088,6.2041581809,3786175.274350382,False
(2025 QQ5),2025-08-25,0.06399449509999999,15.8205832865,17604408.005594853,False
(2005 QQ87),2025-08-26,0.11629006595,20.1332531239,19069658.95902175,False
(2007 PP9),2025-08-26,0.2195546385,8.8970922301,18989932.16546544,False
(2011 DT9),2025-08-26,0.03922316335,6.551734907,27889391.239528567,False
(2015 YC1),2025-08-26,0.0271357992,7.2199878003,53736648.06051545,False
(2019 ET),2025-08-26,0.0541430375,15.6834260868,37790651.80801107,False
(2022 CT4),2025-08-26,0.07508317285,8.7289447975,69812435.58958949,False
(2024 CL),2025-08-26,0.0410716941,14.2226130173,11571165.148016153,False
(2024 QR1),2025-08-26,0.070071694,15.2003668019,21501064.927208688,False
(2025 QL1),2025-08-26,0.05607155715,7.0801782831,10217070.348728964,False
(2025 QB3),2025-08-26,0.02519663915,7.0358692747,7311112.829767983,False
(2025 QK3),2025-08-26,0.04482730365,12.7215843566,4493466.239580929,False
(2025 QW3),2025-08-26,0.0388814647,6.2310560864,14048914.038044661,False
(2025 QB5),2025-08-26,0.031012917,4.7690179036,4484351.58543693,False
469737 (2005 NW44),2025-08-19,0.35937065965,15.2956555282,19402666.22616746,False
(2016 BP14),2025-08-19,0.26518112995,17.352112705,9641144.130464735,True
(2020 PX5),2025-08-19,0.00526674895,12.0289343675,9473742.782513691,False
(2022 EQ6),2025-08-19,0.024634435599999997,15.464695662,64632733.22283564,False
(2025 NH3),2025-08-19,0.4441632445,22.5773756359,8578536.696850695,True
(2025 PJ),2025-08-19,0.08019413675,13.2725923918,15564956.80436906,False
(2025 QL3),2025-08-19,0.0130239469,4.2000226773,1952399.841637903,False
(1997 QK1),2025-08-20,0.3815422328,9.832227852,3011710.287795013,True
(2013 AQ60),2025-08-20,0.43605635165,32.332772902,58607969.52764917,False
(2018 RS1),2025-08-20,0.07473819705,20.2237523069,70174275.49749114,False
(2021 AC2),2025-08-20,0.0113642981,11.4477615711,52713368.93453825,False
(2021 CM6),2025-08-20,0.05123215415,13.2770329233,24192734.20860216,False
(2021 EE2),2025-08-20,0.034797065200000005,16.6409272015,44982120.554811925,False
(2021 RR4),2025-08-20,0.01776407575,12.9897522346,40773612.556666926,False
(2022 DN1),2025-08-20,0.0234176126,8.2364236772,64059137.0512358,False
(2022 EH4),2025-08-20,0.04441632445,14.0396854025,61138255.768441916,False
(2022 UA34),2025-08-20,0.07371275050000001,6.0337344713,50083073.630411625,False
(2024 BR4),2025-08-20,0.22570574670000002,10.0237553647,36045049.85354956,True
(2025 OV4),2025-08-20,0.0633202494,10.7719240793,2891560.32467069,False
(2025 OO13),2025-08-20,0.06917395655,13.244280803,10805515.545065848,False
(2025 OW19),2025-08-20,0.08145966445,6.7518985545,11466852.079163427,False
(2025 PM1),2025-08-20,0.03079942555,4.8668394538,3723475.067086632,False
(2025 PW2),2025-08-20,0.015147557749999999,11.4270066127,1491627.077479144,False
(2025 QD1),2025-08-20,0.04709151005,12.6980510599,13273570.508078143,False
(2025 QP3),2025-08-20,0.05240136705,6.0535975534,1060620.938458097,False
(2025 QC4),2025-08-20,0.0158395419,6.9213866152,3556463.945179484,False
